package,longueur_um,largeur_um,hauteur_um,surface_mm2,recuperable,poses,erreurs_pick,taux_pick_pct,source_sauvegarde
WDFN10,2231,979,750,2.184,false,0,0,,2026-08-19
LGA6-6x4x.4 0Pn PP,6000,4000,400,24.0,true,0,0,,2026-08-19
CBGA64-8x8-1.50,2300,2100,550,4.83,false,0,0,,2026-08-19
TESTE,1450,3050,700,4.423,false,0,0,,2026-08-19
BGA225-28x28x2.1 1P8 PP,28000,28000,2100,784.0,true,0,0,,2026-08-19
BGA64-x9-2.15,9000,9000,2150,81.0,true,0,0,,2026-08-19
DFN-8-3X3-0.8,3000,3000,800,9.0,true,0,0,,2026-08-19
SON6 1x1.5-0.4 Z PP,1500,1000,400,1.5,false,0,0,,2026-08-19
SOT-223 PP,6300,3200,1800,20.16,true,0,0,,2026-08-19
LGA16 3x3x1 0P5 PP AUTO,3202,3205,900,10.262,true,0,0,,2026-08-19
SIM68M ACTIA MODULE,10729,10338,2540,110.916,true,0,0,,2026-08-19
DFN8 PP,1950,2550,500,4.973,false,0,0,,2026-08-19
VSON8 3x3x1 0P65 DRB,3000,3000,1000,9.0,true,0,0,,2026-08-19
uQFN16-2.3X2.5-1.15 PP,2500,2300,1150,5.75,false,0,0,,2026-08-19
BGA9-1.6X1.6-0.625 PP,1600,1600,620,2.56,false,0,0,,2026-08-19
Intel1567,62500,55000,6000,3437.5,true,0,0,,2026-08-19
TQFP80-0.40,10000,10000,1000,100.0,true,0,0,,2026-08-19
SCT-595-5 Z PP,2900,1600,1100,4.64,false,0,0,,2026-08-19
QFN30-6x4x.8 0P5 NEW,6000,4000,800,24.0,true,0,0,,2026-08-19
BGA64-11x11-2.15,11000,11000,2150,121.0,true,0,0,,2026-08-19
1812-14,4500,3200,1400,14.4,true,0,0,,2026-08-19
QFN68-8x11x3 0P5 PP,8000,11000,3000,88.0,true,0,0,,2026-08-19
1825-09,4500,6400,900,28.8,true,0,0,,2026-08-19
1825-11,4500,6400,1100,28.8,true,0,0,,2026-08-19
1825-14,4500,6400,1400,28.8,true,0,0,,2026-08-19
1825-16,4500,6400,1600,28.8,true,0,0,,2026-08-19
2412-06,6300,3200,600,20.16,true,0,0,,2026-08-19
BGA64-13x13-2.15,13000,13000,2150,169.0,true,0,0,,2026-08-19
BGA729-35x35-2.15,35000,35000,2150,1225.0,true,0,0,,2026-08-19
BGA73-4x4-0.85 AP AUTO 2,4000,4000,850,16.0,true,0,0,,2026-08-19
BGA1024-32x32-1.0,33000,33000,2150,1089.0,true,0,0,,2026-08-19
LED KPTB-1612 PP,1250,1600,650,2.0,false,0,0,,2026-08-19
BGA81-10x10-2.15,10000,10000,2150,100.0,true,0,0,,2026-08-19
BGA81-12x12-2.15,12000,12000,2150,144.0,true,0,0,,2026-08-19
